ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
"ISM, Nebulae",(ISM:) HII regions,narrowMatch,Compact H II region,http://astrothesaurus.org/uat/286
"ISM, Nebulae",(ISM:) HII regions,exactMatch,H II regions,http://astrothesaurus.org/uat/694
"ISM, Nebulae",(ISM:) photon-dominated region (PDR),(no match),,
"ISM, Nebulae",(ISM:) planetary nebulae: general,exactMatch,Planetary nebulae,http://astrothesaurus.org/uat/1249
"ISM, Nebulae",(ISM:) planetary nebulae: general,relatedMatch,Protoplanetary nebulae,http://astrothesaurus.org/uat/1301
"ISM, Nebulae",(ISM:) planetary nebulae: individual,(no match),,
"ISM, Nebulae",ISM: abundances,relatedMatch,Interstellar abundances,http://astrothesaurus.org/uat/832
"ISM, Nebulae",ISM: atoms,relatedMatch,Polycyclic aromatic hydrocarbons,http://astrothesaurus.org/uat/1280
"ISM, Nebulae",ISM: bubbles,narrowMatch,Stellar wind bubbles,http://astrothesaurus.org/uat/1635
"ISM, Nebulae",ISM: bubbles,narrowMatch,Superbubbles,http://astrothesaurus.org/uat/1656
"ISM, Nebulae",ISM: clouds,narrowMatch,Molecular clouds,http://astrothesaurus.org/uat/1072
"ISM, Nebulae",ISM: clouds,narrowMatch,Neutral hydrogen clouds,http://astrothesaurus.org/uat/1099
"ISM, Nebulae",ISM: clouds,narrowMatch,Circumstellar clouds,http://astrothesaurus.org/uat/234
"ISM, Nebulae",ISM: clouds,narrowMatch,Collapsing clouds,http://astrothesaurus.org/uat/267
"ISM, Nebulae",ISM: clouds,narrowMatch,Dark interstellar clouds,http://astrothesaurus.org/uat/352
"ISM, Nebulae",ISM: clouds,narrowMatch,Dense interstellar clouds,http://astrothesaurus.org/uat/371
"ISM, Nebulae",ISM: clouds,narrowMatch,Diffuse interstellar clouds,http://astrothesaurus.org/uat/380
"ISM, Nebulae",ISM: clouds,narrowMatch,Giant molecular clouds,http://astrothesaurus.org/uat/653
"ISM, Nebulae",ISM: clouds,narrowMatch,High-velocity clouds,http://astrothesaurus.org/uat/735
"ISM, Nebulae",ISM: clouds,narrowMatch,Infrared dark clouds,http://astrothesaurus.org/uat/787
"ISM, Nebulae",ISM: clouds,narrowMatch,Intercloud medium,http://astrothesaurus.org/uat/803
"ISM, Nebulae",ISM: clouds,exactMatch,Interstellar clouds,http://astrothesaurus.org/uat/834
